episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,success,crashed,timed_out,stuck
36,0,-0.20083309671593177,72.39385223388672,0.005963640909338274,0.03763096034526825,27.049383893609047,56,0.0,0.009635769724638612,0.0,0.0,0.0,0.08,0.0730376792550087,0.028159647736284467,False,False,False,False
36,1,-0.17503066724345825,72.39385223388672,0.0030988736229318344,0.03762577474117279,27.90246047079563,56,0.0,0.010734821734882818,0.0,0.0,0.0,0.08,0.07043999010324478,0.003855855405330658,False,False,False,False
36,2,-0.1713886583979982,72.39385223388672,0.00616968931778859,0.037550121545791626,27.522120214998722,56,0.0,0.010065140474754819,0.0,0.0,0.0,0.08,0.07091099220514296,0.00041252571810036895,False,False,False,False
36,3,-0.17070477929933991,72.39385223388672,0.006530457016068519,0.037457361817359924,27.53189217299223,56,0.0,0.009685050787768022,0.0,0.0,0.0,0.08,0.07088624733686447,0.00013348117470741273,False,False,False,False
36,4,-0.17073186523078393,72.39385223388672,0.005768485625867601,0.03737068176269531,27.435305826365948,56,0.0,0.009585805329097547,0.0,0.0,0.0,0.08,0.07103036707639694,0.00011569282528944314,False,False,False,False
36,5,-0.17076408649605224,72.39385986328125,0.004673821949676759,0.03729844093322754,27.41174329072237,56,-7.62939453125e-06,0.009572951536592933,0.0,0.0,0.0,0.08,0.07108508175611496,9.842380881309509e-05,False,False,False,False
36,6,-0.17079364239860792,72.39385986328125,0.003593356995862152,0.03724159300327301,27.388995811343193,56,0.0,0.009576925809900268,0.0,0.0,0.0,0.08,0.07110882717370987,0.00010788941499777139,False,False,False,False
36,7,-0.1707728386577132,72.39385986328125,0.002660127615490485,0.03719891607761383,27.397560440003872,56,0.0,0.009571582026072487,0.0,0.0,0.0,0.08,0.07109031802415848,0.00011093860748223959,False,False,False,False
36,8,-0.1880350593364376,72.39385986328125,0.0008664656764559197,0.03718563914299011,34.8544143140316,56,0.0,0.014336464051021923,0.0,0.0,0.0,0.08,0.0631128564476967,0.020585738837718963,False,False,False,False
36,9,-0.1676498073814523,72.39385986328125,0.0011758161450121075,0.03717011213302612,31.853322833776474,56,0.0,0.01176267487836001,0.0,0.0,0.0,0.08,0.06246353921294213,0.0034235932901501656,False,False,False,False
36,10,-0.1588010162335654,72.38888549804688,2.0788544162211364,0.03726083040237427,32.25821301341057,56,0.004974365234375,0.010450651183428323,0.0,0.0,0.0,0.08,0.06278837653994561,0.0005363537445664406,False,False,False,False
36,11,-0.14414710146532972,72.36860656738281,4.6560310925463595,0.03751262649893761,31.95860154926777,56,0.0202789306640625,0.009744119099989706,0.0,0.0,0.0,0.08,0.06396368828415872,0.0007182247452437877,False,False,False,False
36,12,-0.05411309499593537,72.33726501464844,6.516303824574896,0.03775065392255783,31.648178100585938,56,0.031341552734375,0.008894382803906618,0.0,0.0,0.0,0.0,0.06566667747497558,0.000893587451428175,False,False,False,False
36,13,-0.04520449166238719,72.29682159423828,8.018621243822182,0.037944696843624115,31.456300914287567,56,0.04044342041015625,0.008211358456466726,0.0,0.0,0.0,0.0,0.06683771508932114,0.0005988385267555713,False,False,False,False
36,14,-0.03888818065758231,72.24964904785156,9.202081982100554,0.03810010850429535,31.268272027373314,56,0.04717254638671875,0.007767328088464159,0.0,0.0,0.0,0.0,0.06781263518333436,0.0004807637725025415,False,False,False,False
36,15,-0.03322448800226604,72.1966552734375,10.311349351836597,0.21360091865062714,31.131968200206757,56,0.0529937744140625,0.007283657568524825,0.0,0.0,0.0,0.0,0.06854994326829911,0.00038466157950460913,False,False,False,False
