episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,invalid_creep_penalty,unsafe_commit_penalty,lane_end_urgency_penalty,longitudinal_smooth_penalty,wait_reward,build_speed_reward,commit_reward,lead_gap_m,lead_ttc_s,rear_gap_m,rear_ttc_s,merge_time_current_s,merge_time_target_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
0,0,-0.08600000008940697,72.39385223388672,0.005941720476107914,0.03763073682785034,28.411160185933113,56,0.0,0.006000000089406968,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.5800683731862,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,1,-0.08514469653367995,72.39385223388672,0.0031306989606658345,0.037624821066856384,37.31735274195671,56,0.0,0.005144696533679962,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.2726498964283,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,2,-0.0830482929944992,72.39385223388672,0.0061789148641333775,0.03754901885986328,39.14545923471451,56,0.0,0.0030482929944992067,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.7272572155573,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,3,-0.08304851084947586,72.39385223388672,0.006529973116140407,0.037456318736076355,39.55097034573555,56,0.0,0.0030485108494758607,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0002572512883,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,4,-0.08305749654769898,72.39385986328125,0.005762538039220443,0.03736984729766846,39.73622381687164,56,-9.1552734375e-06,0.0030483412742614746,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.223522509151,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,5,-0.08304839879274369,72.39385986328125,0.004662741878062509,0.03729751706123352,39.88686069846153,56,0.0,0.003048398792743683,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.4609634846074,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,6,-0.08304837226867676,72.39385986328125,0.003593840342876076,0.037240952253341675,40.04310339689255,56,0.0,0.003048372268676758,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.743424510707,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,7,-0.08304831326007843,72.39385986328125,0.0026649479921429346,0.03719830513000488,40.207422226667404,56,0.0,0.00304831326007843,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.8995009169829,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,8,-0.08304830491542817,72.39385986328125,0.0008693766835491586,0.037185102701187134,40.37865310907364,56,0.0,0.0030483049154281616,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.2496117409208,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
0,9,-0.08304840832948684,72.39385986328125,0.0011728253313363912,0.037169575691223145,40.56597590446472,56,0.0,0.003048408329486847,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.1785013040248,0.0,0.0,0.0,0.0,True,False,0,False,False,False,False
